(2580.000000, -2950.000000, 166.000000), (37.500000, -22.500000, -5.000000), (20.000000, 20.000000, 20.000000)
(1525.000000, -1880.000000, 166.000000), (37.500000, -10.000000, -5.000000), (18.000000, 18.000000, 18.000000)
(7630.000000, -1255.000000, 166.000000), (25.000000, -87.500000, -25.000000), (20.500000, 20.500000, 20.500000)
(8320.000000, -2440.000000, 166.000000), (35.000000, -42.500000, -10.000000), (21.500000, 21.500000, 21.500000)
(8190.000000, -4185.000000, 166.000000), (35.000000, -57.500000, -22.500000), (22.000000, 22.000000, 22.000000)
(5605.000000, -2740.000000, 166.000000), (22.500000, -47.500000, -20.000000), (22.000000, 22.000000, 22.000000)
(1440.000000, -4970.000000, 166.000000), (22.500000, -132.500000, -20.000000), (19.000000, 19.000000, 19.000000)
(3600.000000, -4145.000000, 166.000000), (22.500000, -90.000000, -37.500000), (19.000000, 19.000000, 19.000000)

(3695.000000, -2980.000000, 166.000000), (22.500000, 42.500000, 12.500000), (21.500000, 21.500000, 21.500000)
(4090.000000, -3175.000000, 166.000000), (25.000000, 20.000000, 15.000000), (18.000000, 18.000000, 18.000000)
(4090.000000, -3175.000000, 166.000000), (25.000000, 20.000000, 15.000000), (18.000000, 18.000000, 18.000000)
(2065.000000, -3590.000000, 166.000000), (22.500000, 82.500000, 27.500000), (20.000000, 20.000000, 20.000000)
(2065.000000, -3590.000000, 166.000000), (22.500000, 82.500000, 27.500000), (20.000000, 20.000000, 20.000000)
